num,user_id_question,question_text,user_id_answer1,answer_booktitle1,answer_text1,answer_book_id,user_id_answer2,answer_booktitle2,answer_text2,answer_book_id2,user_id_answer3,answer_booktitle3,answer_text3,answer_book_id3
1,1,中学生です。将来お金持ちになれる本、教えてください！,7,人生計画の立て方,"著者の本多さんは貧農に生まれながら苦学して東大教授になり、投資で億万長者になった方です。
この作品でなくともどれも大変勉強になるのですが、まずはこちらを読みながら将来像をより具体化してみてはいかがでしょうか！",1,,,,,,,,
2,2,"小学校低学年のクラスで読み聞かせをすることになりました。
読み聞かせ用の本を探しているのでだれかおすすめ教えてください！",3,ねえ、どれがいい? (評論社の児童図書館・絵本の部屋),"もし、「ゾウにお風呂の水を飲まれる」のと、「ブタに服を着られちゃう」のと、
　「ワシにご飯を食べられちゃう」のと、「カバにベットを取られちゃう」のとでは・・どれがいい？といった、あり得ない選択肢に楽しい空想が広がる絵本です。

低学年の子なら絶対「～がいい！」「～はやだ・・」と反応を返してくれると思いますよ^^",2,,,,,,,,
4,4,"息子がもうすぐ中学生になるのですが、ほとんど本を読みません。
何か読書習慣をつけるきっかけになるような作品はありませんか？",3,青いミステリー (5分後に意外な結末),"読書習慣を身につけるのはなかなか難しいですよね。

こちらの本はいかがでしょうか。
どれも５分で読めるので、学校の読書タイムにおすすめです。

お話は国内外問わず様々な物語が紹介されており、ライトノベルっぽい挿絵もあって
人気の作品ですよ〜
最後のどんでん返しにより、いい意味で裏切られる短編集がたくさん詰まっています。
",3,,,,,,,,
5,5,僕が読んだことなさそうな本教えてほしいっす,6,「トイレと文化」考―はばかりながら (文春文庫),日本育ちの文化人類学者が書いた、トイレの研究。日常生活の中身を考えるうえで示唆に富んでいますよ,,,,,,,,,
6,6,ノンフィクションとか伝記とか好きなんですが、なんかこう胸が熱くなるノンフィクション作品知ってる人！,7,風をつかまえた少年 14歳だったぼくはたったひとりで風力発電をつくった (文春文庫),"アフリカ最貧国・マラウイですべて手作りの風力発電機を作った少年の伝記。
知ってるかもしれませんが、私はこれが好きですのでぜひ",4,10,わが半生 (1965年) (角川文庫),"イギリスの名宰相・チャーチルの半生記。劣等生がいかにしてイギリス首相となり、またノーベル文学賞を得たか。原書 ""My Early Life"" の風格をよく伝える名訳。",19,,,,
7,7,"実際人生で読める本の数って限られてますよね。
一冊当たりの学びを最大化したいとか思っちゃったりするんですけど
本の読み方！みたいなやつ教えてくださいな",10,知的トレーニングの技術〔完全独習版〕 (ちくま学芸文庫),"私も同じことを考えた時期に読んだ本です。
「知的創造は形式的な模倣ではなく、その根本まで突き詰めることで初めて可能になる」として、深く読むことを追求しています。",5,,,,,,,,
8,8,ワンピースで一番好きな巻、教えてー！,9,ONE PIECE 41 (ジャンプ・コミックス),個人的にはやはりウォーターセブン編があついですね,16,,,,,,,,
9,9,"SFの金字塔と言えばフィリップKディックだと思いますが、
sf系作品でみなさんが面白いと思うのはなんですか？",3,タイタンの妖女 (ハヤカワ文庫SF),"ヴォネガットはいつでも、心に沁みます。
ディックももちろん好きですが、時間がある時に静かにゆっくり読みたいのは
ヴォネガットですねえ。",6,,,,,,,,
10,9,無人島に持っていきたい漫画は？,19,プラネテス全4巻 完結セット (モーニングKC),"世の中の深淵さをここまでわかりやすく、大きなスケールで描いた名作だと思います。
正直何回繰り返し読んだかわからないくらいおすすめです。無人島に？当然持って行きますよ",7,,,,,,,,
11,3,なんか最近気分が晴れないです。こんな時どうしたらいいんですかね？,6,〈増補改訂 第2版〉いやな気分よ、さようなら―自分で学ぶ「抑うつ」克服法,"認知療法の世界的権威・バーンズ博士の定評あるテキスト（ワークブック）です。
症状によっては投薬治療と同じか、それ以上の効果があるとされる抑うつの治療のバイブル。アドバイスのタネ本にもなります。",8,6,浦安鉄筋家族 全31巻完結(少年チャンピオン・コミックス) [マーケットプレイス コミックセット],私は普段、漫画はあまり読まないのですがこれだけは読みます。小学生の頃友人の家で読ませてもらったときにあまりにくだらない内容で大笑いをした記憶があります。大人になってから、こういったもので笑えるかどうかは分かりませんが、辛いときにこそ笑ってやるしかありません。この漫画は本当に小学生の低学年の何も考えずに笑っていたあの時を思い出せるのかなと思います。,20,,,,
